Height (mm);Total slice surface (mm²)
123.06;35806.130
123.18;35997.835
123.30;36190.036
123.42;36379.168
123.54;36556.266
123.66;36733.794
123.78;36911.762
123.90;37090.158
124.02;37268.974
124.14;37448.218
124.26;37627.909
124.38;37808.011
124.50;37988.554
124.62;38169.534
124.74;38350.933
124.86;38532.764
124.98;38706.936
125.10;38873.958
125.22;39041.344
125.34;39209.068
125.46;39377.179
125.58;39545.633
125.70;39714.449
125.82;39883.618
125.94;40053.153
126.06;40223.058
126.18;40393.311
126.30;40563.931
126.42;40734.894
126.54;40899.627
126.66;41056.103
126.78;41212.879
126.90;41369.953
127.02;41527.321
127.14;41684.991
127.26;41842.959
127.38;42001.227
127.50;42159.791
127.62;42318.661
127.74;42477.823
127.86;42637.279
127.98;42797.055
128.10;42957.099
128.22;43102.691
128.34;43248.491
128.46;43394.558
128.58;43540.861
128.70;43687.400
128.82;43834.205
128.94;43981.237
129.06;44128.519
129.18;44276.054
129.30;44423.838
129.42;44571.854
129.54;44720.126
129.66;44868.649
129.78;45014.008
129.90;45148.542
130.02;45283.280
130.14;45418.211
130.26;45553.341
130.38;45688.679
130.50;45824.211
130.62;45959.956
130.74;46095.889
130.86;46232.025
130.98;46368.369
131.10;46504.899
131.22;46641.644
131.34;46778.588
131.46;46913.373
131.58;47036.540
131.70;47159.867
131.82;47283.356
131.94;47407.013
132.06;47530.826
132.18;47654.807
132.30;47778.945
132.42;47903.238
132.54;48027.701
132.66;48152.320
132.78;48277.113
132.90;48402.060
133.02;48527.163
133.14;48652.433
133.26;48766.479
133.38;48878.143
133.50;48989.933
133.62;49101.837
133.74;49213.879
133.86;49326.044
133.98;49438.350
134.10;49550.766
134.22;49663.319
134.34;49776.002
134.46;49888.815
134.58;50001.746
134.70;50114.812
134.82;50227.997
134.94;50338.398
135.06;50438.168
135.18;50538.054
135.30;50638.035
135.42;50738.112
135.54;50838.281
135.66;50938.551
135.78;51038.936
135.90;51139.406
136.02;51239.967
136.14;51340.636
136.26;51441.407
136.38;51542.281
136.50;51643.240
136.62;51744.303
136.74;51840.344
136.86;51928.128
136.98;52015.977
137.10;52103.914
137.22;52191.930
137.34;52279.992
137.46;52368.150
137.58;52456.379
137.70;52544.678
137.82;52633.066
137.94;52721.509
138.06;52810.038
138.18;52898.640
138.30;52987.319
138.42;53076.059
138.54;53160.306
138.66;53235.899
138.78;53311.531
138.90;53387.222
139.02;53462.956
139.14;53538.753
139.26;53614.607
139.38;53690.516
139.50;53766.482
139.62;53842.484
139.74;53918.549
139.86;53994.673
139.98;54070.842
140.10;54147.084
140.22;54223.358
140.34;54297.970
140.46;54361.212
140.58;54424.492
140.70;54487.803
140.82;54551.155
140.94;54614.550
141.06;54677.974
141.18;54741.442
141.30;54804.936
141.42;54868.474
141.54;54932.048
141.66;54995.653
141.78;55059.304
141.90;55122.986
142.02;55186.707
142.14;55250.467
142.26;55304.257
142.38;55355.024
142.50;55405.839
142.62;55456.677
142.74;55507.505
142.86;55558.390
142.98;55609.285
143.10;55660.208
143.22;55711.151
143.34;55762.121
143.46;55813.108
143.58;55864.126
143.70;55915.162
143.82;55966.217
143.94;56017.308
144.06;56064.774
144.18;56102.956
144.30;56141.136
144.42;56179.346
144.54;56217.566
144.66;56255.799
144.78;56294.033
144.90;56332.280
145.02;56370.566
145.14;56408.843
145.26;56447.130
145.38;56485.446
145.50;56523.760
145.62;56562.092
145.74;56600.436
145.86;56638.803
145.98;56668.217
146.10;56693.742
146.22;56719.286
